produt_name,produt_price,produt_img,produt_rating
"Samsung 82"" Class - Q6DT Series - 4K UHD QLED LCD TV - $100 Allstate Protection Plan Bundle Included","$1,549.99",https://images.costco-static.com/ImageDelivery/imageService?profileId=12026540&imageId=9982600test-847__1&recipeName=350,Rated 4.5 out of 5 stars based on 4021 reviews.
"LG 86"" Class - NANO91 Series - 4K UHD LED LCD TV - $100 Allstate Protection Plan Bundle Included","$2,449.99",https://images.costco-static.com/ImageDelivery/imageService?profileId=12026540&imageId=9008691-847__1&recipeName=350,Rated 4.5 out of 5 stars based on 515 reviews.
"MW Mounts 32"" - 80"" Full-Motion TV Mount",$89.99,https://images.costco-static.com/ImageDelivery/imageService?profileId=12026540&imageId=1029477-847__1&recipeName=350,Rated 4.6 out of 5 stars based on 2123 reviews.
"MW Mounts 42"" - 90"" Full-Motion TV Mount",$129.99,https://images.costco-static.com/ImageDelivery/imageService?profileId=12026540&imageId=749132-847__1&recipeName=350,Rated 4.5 out of 5 stars based on 1184 reviews.
Handy Premier - TV Mounting Service with On-wall Wire Concealment,$119.99,https://images.costco-static.com/ImageDelivery/imageService?profileId=12026540&imageId=1333973-847__1&recipeName=350,Rated 3.8 out of 5 stars based on 5224 reviews.
Handy Premier - TV Mounting Service,$99.99,https://images.costco-static.com/ImageDelivery/imageService?profileId=12026540&imageId=1333976-847__1&recipeName=350,Rated 3.8 out of 5 stars based on 5224 reviews.
"AVF TV Against the Wall Standing Floor Mount for TVs up to 80""",$119.99,https://images.costco-static.com/ImageDelivery/imageService?profileId=12026540&imageId=1425430-847__1&recipeName=350,Rated 3.9 out of 5 stars based on 967 reviews.
Starburst Technologies Advanced Extension Tilt 43-90” TV Mount,$89.99,https://images.costco-static.com/ImageDelivery/imageService?profileId=12026540&imageId=1425454-847__1&recipeName=350,Rated 0 out of 5 stars based on 0 reviews.
Starburst Technologies Ultra Slim Tilt 37-70” TV Mount,$69.99,https://images.costco-static.com/ImageDelivery/imageService?profileId=12026540&imageId=1425168-847__1&recipeName=350,Rated 4.4 out of 5 stars based on 327 reviews.
Starburst Technologies Fluid Motion 37-90” Swivel Tilt Extend TV Mount,$129.99,https://images.costco-static.com/ImageDelivery/imageService?profileId=12026540&imageId=1425269-847__1&recipeName=350,Rated 4.5 out of 5 stars based on 464 reviews.
Handy Premier - TV Mounting Service with In-wall Wire Concealment,$149.99,https://images.costco-static.com/ImageDelivery/imageService?profileId=12026540&imageId=1333958-847__1&recipeName=350,Rated 3.8 out of 5 stars based on 5224 reviews.
"Sony 75"" Class - X90CH Series - 4K UHD LED LCD TV","$1,299.99",https://images.costco-static.com/ImageDelivery/imageService?profileId=12026540&imageId=9975900-847__1&recipeName=350,Rated 4.5 out of 5 stars based on 3298 reviews.
"Samsung 75"" Class - Q6DT Series - 4K UHD QLED LCD TV - $100 Allstate Protection Plan Bundle Included","$1,099.97",none,Rated 4.5 out of 5 stars based on 4021 reviews.
"Samsung 55"" Class - Q7DT Series - 4K UHD QLED LCD TV - $65 Allstate Protection Plan Bundle Included",$899.99,none,Rated 4.5 out of 5 stars based on 2949 reviews.
"WireLogic 8 Feet Ruby HDMI Cable, 2-pack",$15.99,none,Rated 4.7 out of 5 stars based on 458 reviews.
"Samsung 55"" - TU850D Series - 4K UHD LED LCD TV",$549.99,none,Rated 4.5 out of 5 stars based on 1867 reviews.
"Sony 65"" Class - X75CH Series - 4K UHD LED LCD TV",$719.99,none,Rated 4.5 out of 5 stars based on 1825 reviews.
"Samsung 65"" Class - Q6DT Series - 4K UHD QLED LCD TV - $65 Allstate Protection Plan Bundle Included",$799.97,none,Rated 4.5 out of 5 stars based on 4021 reviews.
"Sony 85"" Class - X91CJ Series - 4K UHD LED LCD TV - Allstate Protection Plan Bundle Included","$2,999.99",none,Rated 5 out of 5 stars based on 2 reviews.
"LG 55"" Class - A1 Series - 4K UHD OLED TV - Allstate Protection Plan Bundle Included","$1,399.99",none,Rated 5 out of 5 stars based on 1 reviews.
"LG 77"" Class - C1 Series - 4K UHD OLED TV - Allstate Protection Plan Bundle Included","$3,499.99",none,Rated 4 out of 5 stars based on 3 reviews.
"Samsung 75"" Class - Q7DT Series - 4K UHD QLED LCD TV - $100 Allstate Protection Plan Bundle Included","$1,399.97",none,Rated 4.5 out of 5 stars based on 2949 reviews.
"WireLogic 12 Feet Sapphire HDMI Cable, 2-pack",$17.99,none,Rated 4.7 out of 5 stars based on 865 reviews.
