title,handle,create_date,update_date,vendor,sku,tit,price,available,img_src_link
The Whalen Chocolate,the-whalen-chocolate,2021-04-07T13:18:21-05:00,2021-06-20T21:27:41-05:00,HELM,HB5201006,6 / D,250.00,True,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-boots-the-whalen-chocolate-28324929110078.jpg?v=1622129593
The Whalen Chocolate,the-whalen-chocolate,2021-04-07T13:18:21-05:00,2021-06-20T21:27:41-05:00,HELM,HB5201007,7 / D,250.00,True,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-boots-the-whalen-chocolate-28324929110078.jpg?v=1622129593
The Whalen Chocolate,the-whalen-chocolate,2021-04-07T13:18:21-05:00,2021-06-20T21:27:41-05:00,HELM,HB5201007E,7 / EE,250.00,True,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-boots-the-whalen-chocolate-28324929110078.jpg?v=1622129593
The Whalen Chocolate,the-whalen-chocolate,2021-04-07T13:18:21-05:00,2021-06-20T21:27:41-05:00,HELM,HB5201075,7.5 / D,250.00,False,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-boots-the-whalen-chocolate-28324929110078.jpg?v=1622129593
The Whalen Chocolate,the-whalen-chocolate,2021-04-07T13:18:21-05:00,2021-06-20T21:27:41-05:00,HELM,HB5201008,8 / D,250.00,True,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-boots-the-whalen-chocolate-28324929110078.jpg?v=1622129593
The Whalen Chocolate,the-whalen-chocolate,2021-04-07T13:18:21-05:00,2021-06-20T21:27:41-05:00,HELM,HB5201008E,8 / EE,250.00,True,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-boots-the-whalen-chocolate-28324929110078.jpg?v=1622129593
The Whalen Chocolate,the-whalen-chocolate,2021-04-07T13:18:21-05:00,2021-06-20T21:27:41-05:00,HELM,HB5201085,8.5 / D,250.00,True,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-boots-the-whalen-chocolate-28324929110078.jpg?v=1622129593
The Whalen Chocolate,the-whalen-chocolate,2021-04-07T13:18:21-05:00,2021-06-20T21:27:41-05:00,HELM,HB5201085E,8.5 / EE,250.00,True,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-boots-the-whalen-chocolate-28324929110078.jpg?v=1622129593
The Whalen Chocolate,the-whalen-chocolate,2021-04-07T13:18:21-05:00,2021-06-20T21:27:41-05:00,HELM,HB5201009,9 / D,250.00,True,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-boots-the-whalen-chocolate-28324929110078.jpg?v=1622129593
The Whalen Chocolate,the-whalen-chocolate,2021-04-07T13:18:21-05:00,2021-06-20T21:27:41-05:00,HELM,HB5201009E,9 / EE,250.00,True,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-boots-the-whalen-chocolate-28324929110078.jpg?v=1622129593
The Whalen Chocolate,the-whalen-chocolate,2021-04-07T13:18:21-05:00,2021-06-20T21:27:41-05:00,HELM,HB5201095,9.5 / D,250.00,True,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-boots-the-whalen-chocolate-28324929110078.jpg?v=1622129593
The Whalen Chocolate,the-whalen-chocolate,2021-04-07T13:18:21-05:00,2021-06-20T21:27:41-05:00,HELM,HB5201095E,9.5 / EE,250.00,True,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-boots-the-whalen-chocolate-28324929110078.jpg?v=1622129593
The Whalen Chocolate,the-whalen-chocolate,2021-04-07T13:18:21-05:00,2021-06-20T21:27:41-05:00,HELM,HB5201010,10 / D,250.00,True,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-boots-the-whalen-chocolate-28324929110078.jpg?v=1622129593
The Whalen Chocolate,the-whalen-chocolate,2021-04-07T13:18:21-05:00,2021-06-20T21:27:41-05:00,HELM,HB5201010E,10 / EE,250.00,True,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-boots-the-whalen-chocolate-28324929110078.jpg?v=1622129593
The Whalen Chocolate,the-whalen-chocolate,2021-04-07T13:18:21-05:00,2021-06-20T21:27:41-05:00,HELM,HB5201105,10.5 / D,250.00,True,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-boots-the-whalen-chocolate-28324929110078.jpg?v=1622129593
The Whalen Chocolate,the-whalen-chocolate,2021-04-07T13:18:21-05:00,2021-06-20T21:27:41-05:00,HELM,HB5201105E,10.5 / EE,250.00,True,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-boots-the-whalen-chocolate-28324929110078.jpg?v=1622129593
The Whalen Chocolate,the-whalen-chocolate,2021-04-07T13:18:21-05:00,2021-06-20T21:27:41-05:00,HELM,HB5201011,11 / D,250.00,True,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-boots-the-whalen-chocolate-28324929110078.jpg?v=1622129593
The Whalen Chocolate,the-whalen-chocolate,2021-04-07T13:18:21-05:00,2021-06-20T21:27:41-05:00,HELM,HB5201011E,11 / EE,250.00,True,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-boots-the-whalen-chocolate-28324929110078.jpg?v=1622129593
The Whalen Chocolate,the-whalen-chocolate,2021-04-07T13:18:21-05:00,2021-06-20T21:27:41-05:00,HELM,HB5201115,11.5 / D,250.00,True,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-boots-the-whalen-chocolate-28324929110078.jpg?v=1622129593
The Whalen Chocolate,the-whalen-chocolate,2021-04-07T13:18:21-05:00,2021-06-20T21:27:41-05:00,HELM,HB5201115E,11.5 / EE,250.00,True,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-boots-the-whalen-chocolate-28324929110078.jpg?v=1622129593
The Whalen Chocolate,the-whalen-chocolate,2021-04-07T13:18:21-05:00,2021-06-20T21:27:41-05:00,HELM,HB5201012,12 / D,250.00,True,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-boots-the-whalen-chocolate-28324929110078.jpg?v=1622129593
The Whalen Chocolate,the-whalen-chocolate,2021-04-07T13:18:21-05:00,2021-06-20T21:27:41-05:00,HELM,HB5201012E,12 / EE,250.00,True,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-boots-the-whalen-chocolate-28324929110078.jpg?v=1622129593
The Whalen Chocolate,the-whalen-chocolate,2021-04-07T13:18:21-05:00,2021-06-20T21:27:41-05:00,HELM,HB5201013,13 / D,250.00,True,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-boots-the-whalen-chocolate-28324929110078.jpg?v=1622129593
The Whalen Chocolate,the-whalen-chocolate,2021-04-07T13:18:21-05:00,2021-06-20T21:27:41-05:00,HELM,HB5201013E,13 / EE,250.00,True,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-boots-the-whalen-chocolate-28324929110078.jpg?v=1622129593
The Whalen Chocolate,the-whalen-chocolate,2021-04-07T13:18:21-05:00,2021-06-20T21:27:41-05:00,HELM,HB5201014,14 / D,250.00,True,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-boots-the-whalen-chocolate-28324929110078.jpg?v=1622129593
The Whalen Chocolate,the-whalen-chocolate,2021-04-07T13:18:21-05:00,2021-06-20T21:27:41-05:00,HELM,HB5201015,15 / D,250.00,True,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-boots-the-whalen-chocolate-28324929110078.jpg?v=1622129593
The Whalen Chocolate,the-whalen-chocolate,2021-04-07T13:18:21-05:00,2021-06-20T21:27:41-05:00,HELM,HB5201016,16 / D,250.00,True,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-boots-the-whalen-chocolate-28324929110078.jpg?v=1622129593
The Whalen Brown,the-whalen-brown,2021-04-07T13:18:57-05:00,2021-06-21T06:25:46-05:00,HELM,HB5203006,6 / D,250.00,True,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-boots-the-whalen-brown-28328019230782.jpg?v=1622215085
The Whalen Brown,the-whalen-brown,2021-04-07T13:18:57-05:00,2021-06-21T06:25:46-05:00,HELM,HB5203007,7 / D,250.00,True,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-boots-the-whalen-brown-28328019230782.jpg?v=1622215085
The Whalen Brown,the-whalen-brown,2021-04-07T13:18:57-05:00,2021-06-21T06:25:46-05:00,HELM,HB5203007E,7 / EE,250.00,True,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-boots-the-whalen-brown-28328019230782.jpg?v=1622215085
The Whalen Brown,the-whalen-brown,2021-04-07T13:18:57-05:00,2021-06-21T06:25:46-05:00,HELM,HB5203075,7.5 / D,250.00,True,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-boots-the-whalen-brown-28328019230782.jpg?v=1622215085
The Whalen Brown,the-whalen-brown,2021-04-07T13:18:57-05:00,2021-06-21T06:25:46-05:00,HELM,HB5203008,8 / D,250.00,True,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-boots-the-whalen-brown-28328019230782.jpg?v=1622215085
The Whalen Brown,the-whalen-brown,2021-04-07T13:18:57-05:00,2021-06-21T06:25:46-05:00,HELM,HB5203008E,8 / EE,250.00,True,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-boots-the-whalen-brown-28328019230782.jpg?v=1622215085
The Whalen Brown,the-whalen-brown,2021-04-07T13:18:57-05:00,2021-06-21T06:25:46-05:00,HELM,HB5203085,8.5 / D,250.00,True,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-boots-the-whalen-brown-28328019230782.jpg?v=1622215085
The Whalen Brown,the-whalen-brown,2021-04-07T13:18:57-05:00,2021-06-21T06:25:46-05:00,HELM,HB5203085E,8.5 / EE,250.00,True,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-boots-the-whalen-brown-28328019230782.jpg?v=1622215085
The Whalen Brown,the-whalen-brown,2021-04-07T13:18:57-05:00,2021-06-21T06:25:46-05:00,HELM,HB5203009,9 / D,250.00,True,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-boots-the-whalen-brown-28328019230782.jpg?v=1622215085
The Whalen Brown,the-whalen-brown,2021-04-07T13:18:57-05:00,2021-06-21T06:25:46-05:00,HELM,HB5203009E,9 / EE,250.00,True,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-boots-the-whalen-brown-28328019230782.jpg?v=1622215085
The Whalen Brown,the-whalen-brown,2021-04-07T13:18:57-05:00,2021-06-21T06:25:46-05:00,HELM,HB5203095,9.5 / D,250.00,True,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-boots-the-whalen-brown-28328019230782.jpg?v=1622215085
The Whalen Brown,the-whalen-brown,2021-04-07T13:18:57-05:00,2021-06-21T06:25:46-05:00,HELM,HB5203095E,9.5 / EE,250.00,True,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-boots-the-whalen-brown-28328019230782.jpg?v=1622215085
The Whalen Brown,the-whalen-brown,2021-04-07T13:18:57-05:00,2021-06-21T06:25:46-05:00,HELM,HB5203010,10 / D,250.00,True,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-boots-the-whalen-brown-28328019230782.jpg?v=1622215085
