title,tag_name,img_link
"Take control over your data with Rally, a novel privacy-first data sharing platform",Mozilla,https://ffp4g1ylyit3jdyti1hqcvtb-wpengine.netdna-ssl.com/wp-content/blogs.dir/278/files/2021/06/Logo-Illustrations-Banner-800x800.png
Mozilla Racial Justice Commitments: One Year In,Leadership,none
Celebrating our community: 10 years of the Reps Program,News,https://ffp4g1ylyit3jdyti1hqcvtb-wpengine.netdna-ssl.com/wp-content/blogs.dir/278/files/2021/06/moz_reps10_blogpost_logos_1200x800_210610-800x800.jpg
Privacy analysis of FLoC,Privacy & Security,none
"Modern, clean new Firefox clears the way to all you need online",News,https://ffp4g1ylyit3jdyti1hqcvtb-wpengine.netdna-ssl.com/wp-content/blogs.dir/278/files/2021/05/fx_blog-hdr_logo-800x800.png
Building a more privacy preserving ads-based ecosystem,Mozilla,none
The future of ads and privacy,Mozilla,none
Our approach to advertising on Facebook platforms,Mozilla,https://ffp4g1ylyit3jdyti1hqcvtb-wpengine.netdna-ssl.com/wp-content/blogs.dir/278/files/2021/05/Mozilla_Return_To_Facebook_Platforms_Astrology_Ads-451x451.jpg
Why I’m joining Mozilla’s Board of Directors,News,https://ffp4g1ylyit3jdyti1hqcvtb-wpengine.netdna-ssl.com/wp-content/blogs.dir/278/files/2021/05/hugh-molotsi-edited-800x800.jpg
"Enter our college essay contest for a chance to win $5,000",Pocket,https://ffp4g1ylyit3jdyti1hqcvtb-wpengine.netdna-ssl.com/wp-content/blogs.dir/278/files/2021/05/image_from_ios__8_-563x563.jpg
Growing the Bytecode Alliance,Mozilla,none
Notes on Implementing Vaccine Passports,Internet Policy,https://ffp4g1ylyit3jdyti1hqcvtb-wpengine.netdna-ssl.com/wp-content/blogs.dir/278/files/2020/04/header_blog_EKR_thumbnail_01_1400x770_200422-770x770.jpg
Mark Surman joins the Mozilla Foundation Board of Directors,Mozilla,none
Wearing more (Mozilla) hats,Mozilla,none
Mozilla partners with NVIDIA to democratize and diversify voice technology,Mozilla,https://ffp4g1ylyit3jdyti1hqcvtb-wpengine.netdna-ssl.com/wp-content/blogs.dir/278/files/2021/05/Common-Voice-1400x770-1-770x770.jpg
Reflections on one year as the CEO of Mozilla,Mozilla,https://ffp4g1ylyit3jdyti1hqcvtb-wpengine.netdna-ssl.com/wp-content/blogs.dir/278/files/2021/04/mozilla-mitchell-baker-editorial-1400x770-1-770x770.jpg
Software Innovation Prevails in Landmark Supreme Court Ruling in Google v. Oracle,Internet Policy,none
Latest Mozilla VPN features keep your data safe,Mozilla,https://ffp4g1ylyit3jdyti1hqcvtb-wpengine.netdna-ssl.com/wp-content/blogs.dir/278/files/2021/04/moz_vpn_produ-t_release_blog_header_1400x770-1400x770-1-770x770.jpg
Reinstating net neutrality in the US,Internet Policy,https://ffp4g1ylyit3jdyti1hqcvtb-wpengine.netdna-ssl.com/wp-content/blogs.dir/278/files/2021/04/net-neutrality-630x630.png
