name,address,website,tel,rateings
The Honeybee Bakery,"48 Station Rd, Glasgow, G62 8AB",/customerneeds/sendenquiry/sendtoone/100040482654000080?searchedLocation=Glasgow,0141 611 1163,5.0
Fame Glasgow Ltd,"127 Hope St, Glasgow, G2 6PE",,0141 258 3838,5.0
Caffe Nero,"106 Union St, Glasgow, G1 3QW",http://www.caffenero.com,0141 248 1960,5.0
Costa Coffee,"Lower Ground Level, Buchanan Galleries, Glasgow, G1 2GF",http://www.costa.co.uk,0141 332 8930,4.0
The Willow Tea Rooms,"97 Buchanan St, Glasgow, G2 3EX",http://www.rmghotels.com,0141 204 5242,5.0
Unity Spoon,"46 Trongate, Glasgow, G1 5ES",http://www.spooncommunity.co.uk,0141 559 5515,5.0
Kimble's,"Unit 335 St Enoch Centre, 55, St Enoch Square, Glasgow, G1 4BW",,0141 611 2280,4.0
Greggs,"64 Gordon St, Glasgow, G1 3RS",https://www.greggs.co.uk,0141 204 2101,4.0
Bunteas,"138 Saltmarket, Townhead, GLASGOW, G1 5LB",,0141 552 3619,5.0
The Tinder Box,"Mcintyre Hogg Building, Unit 4 Ingram St, Glasgow, G1 1EJ",https://tinderboxespresso.com/espresso-bars/,0141 552 6907,4.0
Where the Monkey Sleeps,"182 West Regent St, Glasgow, G2 4RU",http://www.monkeysleeps.com,0141 226 3406,4.7
AL Sham Nights Cafe,"213 Gallowgate, Townhead, GLASGOW, G1 5DX",,,5.0
Cranberrys Cafe,"30 Wilson St, Glasgow, G1 1SS",,0141 552 3676,4.5
Up on the Hill,"Craighall Business Park 2b, Eagle St, Glasgow, G4 9XA",,0141 333 0303,5.0
Ottoman Coffeehouse,"73 Berkeley St, Glasgow, G3 7DX",http://www.ottomancoffeehouse.co.uk,07768 312417,5.0
Cafe La Padella,"124 Woodlands Rd, Glasgow, G3 6HB",,0141 332 6104,5.0
St Mungo Museum Of Religious Life & Art,"2 Castle St, Glasgow, G4 0RH",http://www.glasgowmuseums.com,0141 276 1625,4.3
The Coffee Pod,"40-42 Woodlands Rd, Glasgow, G3 6UR",http://www.beanscene.com,0141 352 9800,4.0
Caffe Nero,"Unit 4, Level 3 Buchanan Galleries, Glasgow, G2 3GF",http://www.caffenero.com,0141 332 0385,none
Starbucks Coffee Co (Uk) Ltd,"Unit 15 1st floor, Buchanan Galleries Buchanan St, Glasgow, G1 3JN",http://www.starbucks.co.uk,0141 333 9187,none
AMPM,"Buchanan Bus Station, Killermont St, Glasgow, G2 3NW",,0141 258 5356,2.6
Greggs,"U3 Buchanan Business Station, 16 Killermont St, Glasgow, G2 3NW",https://www.greggs.co.uk,0141 332 2363,none
AMT Coffee Ltd,"Queen Street Railway Station, Dundas St, Glasgow, G1 2AF",http://www.amtcoffee.co.uk,0141 353 0565,none
Learning Cafe,"Cowcaddens Road, Cowcaddens, GLASGOW, G4 0BA",,,none
Greggs,"162-164 Buchanan St, Glasgow, G1 2LW",https://www.greggs.co.uk,0141 332 9542,none
Pret a Manger,"34 Sauchiehall St, Glasgow, G2 3AH",https://locations.pret.co.uk/glasgow/34-sauchiehall-street,0141 333 9647,none
Coffee Republic,"7 Renfrew Street, GLASGOW, G2 3AB",http://www.coffeerepublic.co.uk,0141 353 2898,none
Starbucks Coffee Co (UK) Ltd,"27 Sauchiehall St, Glasgow, G2 3AT",http://www.starbucks.co.uk,0141 332 7852,none
Laboratorio Espresso,"93 West Nile Street, GLASGOW, G1 2PR",,0141 353 1111,none
Coffee Republic,"75 West Nile St, Glasgow, G1 2SH",https://coffeerepublic.co.uk,0141 332 0080,none
Cafe Roots,"Cowcaddens Road, Cowcaddens, GLASGOW, G4 0BA",,,none
The Wild Olive Tree,"163 Buchanan St, Glasgow, G1 2JX",http://www.wildolivetree.co.uk,0141 248 2049,none
Caffe Nero,"1a Dundas St, Glasgow, G1 2AH",http://www.caffenero.com,0141 353 2229,none
Tinderbox (Scotland) Ltd,"185 Buchanan St, Glasgow, G1 2JZ",,0141 353 3833,none
Cafe Wander,"110 West George St, Glasgow, G2 1QJ",http://www.cafewander.com,0141 353 3968,none
Food Fillas on the Corner Ltd,"87 Renfield St, Glasgow, G2 1LP",,0141 353 1911,none
Cafe Select,"Buchanan Street, GLASGOW, G1 2GF",,0141 354 0092,none
City Patio,"53 West Nile Street, GLASGOW, G1 2QB",,0141 248 6639,none
